county	state	fips	state_code	deaths	deaths_age_adj	crude_rate	year	year_min	year_max	year_list
Houston County, AL	Alabama	01069	01	18	Unreliable	Unreliable	2010	2006	2011	['2006', '2007', '2008', '2009', '2010', '2011']
Jackson County, AL	Alabama	01071	01	Suppressed	Suppressed	Suppressed	2010	2006	2011	['2006', '2007', '2008', '2009', '2010', '2011']
Jefferson County, AL	Alabama	01073	01	265	6.8	6.7	2010	2006	2011	['2006', '2007', '2008', '2009', '2010', '2011']
Lamar County, AL	Alabama	01075	01	Suppressed	Suppressed	Suppressed	2010	2006	2011	['2006', '2007', '2008', '2009', '2010', '2011']
Lauderdale County, AL	Alabama	01077	01	Suppressed	Suppressed	Suppressed	2010	2006	2011	['2006', '2007', '2008', '2009', '2010', '2011']
Lawrence County, AL	Alabama	01079	01	Suppressed	Suppressed	Suppressed	2010	2006	2011	['2006', '2007', '2008', '2009', '2010', '2011']
Lee County, AL	Alabama	01081	01	11	Unreliable	Unreliable	2010	2006	2011	['2006', '2007', '2008', '2009', '2010', '2011']
Limestone County, AL	Alabama	01083	01	16	Unreliable	Unreliable	2010	2006	2011	['2006', '2007', '2008', '2009', '2010', '2011']
Lowndes County, AL	Alabama	01085	01	Suppressed	Suppressed	Suppressed	2010	2006	2011	['2006', '2007', '2008', '2009', '2010', '2011']
Macon County, AL	Alabama	01087	01	Suppressed	Suppressed	Suppressed	2010	2006	2011	['2006', '2007', '2008', '2009', '2010', '2011']
Madison County, AL	Alabama	01089	01	31	1.6	1.6	2010	2006	2011	['2006', '2007', '2008', '2009', '2010', '2011']
Marengo County, AL	Alabama	01091	01	Suppressed	Suppressed	Suppressed	2010	2006	2011	['2006', '2007', '2008', '2009', '2010', '2011']
Marion County, AL	Alabama	01093	01	Suppressed	Suppressed	Suppressed	2010	2006	2011	['2006', '2007', '2008', '2009', '2010', '2011']
Marshall County, AL	Alabama	01095	01	Suppressed	Suppressed	Suppressed	2010	2006	2011	['2006', '2007', '2008', '2009', '2010', '2011']
Mobile County, AL	Alabama	01097	01	125	5.3	5.1	2010	2006	2011	['2006', '2007', '2008', '2009', '2010', '2011']
Monroe County, AL	Alabama	01099	01	Suppressed	Suppressed	Suppressed	2010	2006	2011	['2006', '2007', '2008', '2009', '2010', '2011']
Montgomery County, AL	Alabama	01101	01	12	Unreliable	Unreliable	2010	2006	2011	['2006', '2007', '2008', '2009', '2010', '2011']
Morgan County, AL	Alabama	01103	01	17	Unreliable	Unreliable	2010	2006	2011	['2006', '2007', '2008', '2009', '2010', '2011']
Perry County, AL	Alabama	01105	01	Suppressed	Suppressed	Suppressed	2010	2006	2011	['2006', '2007', '2008', '2009', '2010', '2011']
Pickens County, AL	Alabama	01107	01	Suppressed	Suppressed	Suppressed	2010	2006	2011	['2006', '2007', '2008', '2009', '2010', '2011']
Pike County, AL	Alabama	01109	01	Suppressed	Suppressed	Suppressed	2010	2006	2011	['2006', '2007', '2008', '2009', '2010', '2011']
Randolph County, AL	Alabama	01111	01	Suppressed	Suppressed	Suppressed	2010	2006	2011	['2006', '2007', '2008', '2009', '2010', '2011']
Russell County, AL	Alabama	01113	01	Suppressed	Suppressed	Suppressed	2010	2006	2011	['2006', '2007', '2008', '2009', '2010', '2011']
St. Clair County, AL	Alabama	01115	01	24	4.9	4.9	2010	2006	2011	['2006', '2007', '2008', '2009', '2010', '2011']
Shelby County, AL	Alabama	01117	01	87	7.6	7.7	2010	2006	2011	['2006', '2007', '2008', '2009', '2010', '2011']
Sumter County, AL	Alabama	01119	01	Suppressed	Suppressed	Suppressed	2010	2006	2011	['2006', '2007', '2008', '2009', '2010', '2011']
Talladega County, AL	Alabama	01121	01	14	Unreliable	Unreliable	2010	2006	2011	['2006', '2007', '2008', '2009', '2010', '2011']
Tallapoosa County, AL	Alabama	01123	01	Suppressed	Suppressed	Suppressed	2010	2006	2011	['2006', '2007', '2008', '2009', '2010', '2011']
Tuscaloosa County, AL	Alabama	01125	01	50	4.9	4.4	2010	2006	2011	['2006', '2007', '2008', '2009', '2010', '2011']
Walker County, AL	Alabama	01127	01	55	14.3	13.6	2010	2006	2011	['2006', '2007', '2008', '2009', '2010', '2011']
Washington County, AL	Alabama	01129	01	Suppressed	Suppressed	Suppressed	2010	2006	2011	['2006', '2007', '2008', '2009', '2010', '2011']
Wilcox County, AL	Alabama	01131	01	Suppressed	Suppressed	Suppressed	2010	2006	2011	['2006', '2007', '2008', '2009', '2010', '2011']
Winston County, AL	Alabama	01133	01	Suppressed	Suppressed	Suppressed	2010	2006	2011	['2006', '2007', '2008', '2009', '2010', '2011']
Autauga County, AL	Alabama	01001	01	Suppressed	Suppressed	Suppressed	2017	2012	2017	['2012', '2013', '2014', '2015', '2016', '2017']
Baldwin County, AL	Alabama	01003	01	93	7.8	7.7	2017	2012	2017	['2012', '2013', '2014', '2015', '2016', '2017']
Barbour County, AL	Alabama	01005	01	Suppressed	Suppressed	Suppressed	2017	2012	2017	['2012', '2013', '2014', '2015', '2016', '2017']
Bibb County, AL	Alabama	01007	01	Suppressed	Suppressed	Suppressed	2017	2012	2017	['2012', '2013', '2014', '2015', '2016', '2017']
Blount County, AL	Alabama	01009	01	56	17.9	16.1	2017	2012	2017	['2012', '2013', '2014', '2015', '2016', '2017']
Bullock County, AL	Alabama	01011	01	Suppressed	Suppressed	Suppressed	2017	2012	2017	['2012', '2013', '2014', '2015', '2016', '2017']
Butler County, AL	Alabama	01013	01	Suppressed	Suppressed	Suppressed	2017	2012	2017	['2012', '2013', '2014', '2015', '2016', '2017']
Calhoun County, AL	Alabama	01015	01	Suppressed	Suppressed	Suppressed	2017	2012	2017	['2012', '2013', '2014', '2015', '2016', '2017']
Chambers County, AL	Alabama	01017	01	Suppressed	Suppressed	Suppressed	2017	2012	2017	['2012', '2013', '2014', '2015', '2016', '2017']
Cherokee County, AL	Alabama	01019	01	Suppressed	Suppressed	Suppressed	2017	2012	2017	['2012', '2013', '2014', '2015', '2016', '2017']
Chilton County, AL	Alabama	01021	01	Suppressed	Suppressed	Suppressed	2017	2012	2017	['2012', '2013', '2014', '2015', '2016', '2017']
Choctaw County, AL	Alabama	01023	01	Suppressed	Suppressed	Suppressed	2017	2012	2017	['2012', '2013', '2014', '2015', '2016', '2017']
Clarke County, AL	Alabama	01025	01	Suppressed	Suppressed	Suppressed	2017	2012	2017	['2012', '2013', '2014', '2015', '2016', '2017']
Clay County, AL	Alabama	01027	01	Suppressed	Suppressed	Suppressed	2017	2012	2017	['2012', '2013', '2014', '2015', '2016', '2017']
Cleburne County, AL	Alabama	01029	01	Suppressed	Suppressed	Suppressed	2017	2012	2017	['2012', '2013', '2014', '2015', '2016', '2017']
Coffee County, AL	Alabama	01031	01	Suppressed	Suppressed	Suppressed	2017	2012	2017	['2012', '2013', '2014', '2015', '2016', '2017']
Colbert County, AL	Alabama	01033	01	Suppressed	Suppressed	Suppressed	2017	2012	2017	['2012', '2013', '2014', '2015', '2016', '2017']
Conecuh County, AL	Alabama	01035	01	Suppressed	Suppressed	Suppressed	2017	2012	2017	['2012', '2013', '2014', '2015', '2016', '2017']
Coosa County, AL	Alabama	01037	01	Suppressed	Suppressed	Suppressed	2017	2012	2017	['2012', '2013', '2014', '2015', '2016', '2017']
Covington County, AL	Alabama	01039	01	Suppressed	Suppressed	Suppressed	2017	2012	2017	['2012', '2013', '2014', '2015', '2016', '2017']
Crenshaw County, AL	Alabama	01041	01	Suppressed	Suppressed	Suppressed	2017	2012	2017	['2012', '2013', '2014', '2015', '2016', '2017']
Cullman County, AL	Alabama	01043	01	28	6.3	5.7	2017	2012	2017	['2012', '2013', '2014', '2015', '2016', '2017']
Dale County, AL	Alabama	01045	01	Suppressed	Suppressed	Suppressed	2017	2012	2017	['2012', '2013', '2014', '2015', '2016', '2017']
Dallas County, AL	Alabama	01047	01	Suppressed	Suppressed	Suppressed	2017	2012	2017	['2012', '2013', '2014', '2015', '2016', '2017']
DeKalb County, AL	Alabama	01049	01	24	5.8	5.6	2017	2012	2017	['2012', '2013', '2014', '2015', '2016', '2017']
Elmore County, AL	Alabama	01051	01	Suppressed	Suppressed	Suppressed	2017	2012	2017	['2012', '2013', '2014', '2015', '2016', '2017']
Escambia County, AL	Alabama	01053	01	33	13.2	14.6	2017	2012	2017	['2012', '2013', '2014', '2015', '2016', '2017']
Etowah County, AL	Alabama	01055	01	38	6.4	6.1	2017	2012	2017	['2012', '2013', '2014', '2015', '2016', '2017']
Fayette County, AL	Alabama	01057	01	Suppressed	Suppressed	Suppressed	2017	2012	2017	['2012', '2013', '2014', '2015', '2016', '2017']
Franklin County, AL	Alabama	01059	01	Suppressed	Suppressed	Suppressed	2017	2012	2017	['2012', '2013', '2014', '2015', '2016', '2017']
Geneva County, AL	Alabama	01061	01	Suppressed	Suppressed	Suppressed	2017	2012	2017	['2012', '2013', '2014', '2015', '2016', '2017']
Greene County, AL	Alabama	01063	01	Suppressed	Suppressed	Suppressed	2017	2012	2017	['2012', '2013', '2014', '2015', '2016', '2017']
Hale County, AL	Alabama	01065	01	Suppressed	Suppressed	Suppressed	2017	2012	2017	['2012', '2013', '2014', '2015', '2016', '2017']
Henry County, AL	Alabama	01067	01	Suppressed	Suppressed	Suppressed	2017	2012	2017	['2012', '2013', '2014', '2015', '2016', '2017']
Houston County, AL	Alabama	01069	01	13	Unreliable	Unreliable	2017	2012	2017	['2012', '2013', '2014', '2015', '2016', '2017']
Jackson County, AL	Alabama	01071	01	Suppressed	Suppressed	Suppressed	2017	2012	2017	['2012', '2013', '2014', '2015', '2016', '2017']
Jefferson County, AL	Alabama	01073	01	720	18.7	18.2	2017	2012	2017	['2012', '2013', '2014', '2015', '2016', '2017']
Lamar County, AL	Alabama	01075	01	Suppressed	Suppressed	Suppressed	2017	2012	2017	['2012', '2013', '2014', '2015', '2016', '2017']
Lauderdale County, AL	Alabama	01077	01	13	Unreliable	Unreliable	2017	2012	2017	['2012', '2013', '2014', '2015', '2016', '2017']
Lawrence County, AL	Alabama	01079	01	Suppressed	Suppressed	Suppressed	2017	2012	2017	['2012', '2013', '2014', '2015', '2016', '2017']
Lee County, AL	Alabama	01081	01	14	Unreliable	Unreliable	2017	2012	2017	['2012', '2013', '2014', '2015', '2016', '2017']
Limestone County, AL	Alabama	01083	01	16	Unreliable	Unreliable	2017	2012	2017	['2012', '2013', '2014', '2015', '2016', '2017']
Lowndes County, AL	Alabama	01085	01	Suppressed	Suppressed	Suppressed	2017	2012	2017	['2012', '2013', '2014', '2015', '2016', '2017']
Macon County, AL	Alabama	01087	01	Suppressed	Suppressed	Suppressed	2017	2012	2017	['2012', '2013', '2014', '2015', '2016', '2017']
Madison County, AL	Alabama	01089	01	54	2.6	2.6	2017	2012	2017	['2012', '2013', '2014', '2015', '2016', '2017']
Marengo County, AL	Alabama	01091	01	Suppressed	Suppressed	Suppressed	2017	2012	2017	['2012', '2013', '2014', '2015', '2016', '2017']
Marion County, AL	Alabama	01093	01	Suppressed	Suppressed	Suppressed	2017	2012	2017	['2012', '2013', '2014', '2015', '2016', '2017']
Marshall County, AL	Alabama	01095	01	Suppressed	Suppressed	Suppressed	2017	2012	2017	['2012', '2013', '2014', '2015', '2016', '2017']
Mobile County, AL	Alabama	01097	01	112	4.5	4.5	2017	2012	2017	['2012', '2013', '2014', '2015', '2016', '2017']
Monroe County, AL	Alabama	01099	01	Suppressed	Suppressed	Suppressed	2017	2012	2017	['2012', '2013', '2014', '2015', '2016', '2017']
Montgomery County, AL	Alabama	01101	01	16	Unreliable	Unreliable	2017	2012	2017	['2012', '2013', '2014', '2015', '2016', '2017']
Morgan County, AL	Alabama	01103	01	10	Unreliable	Unreliable	2017	2012	2017	['2012', '2013', '2014', '2015', '2016', '2017']
Perry County, AL	Alabama	01105	01	Suppressed	Suppressed	Suppressed	2017	2012	2017	['2012', '2013', '2014', '2015', '2016', '2017']
Pickens County, AL	Alabama	01107	01	Suppressed	Suppressed	Suppressed	2017	2012	2017	['2012', '2013', '2014', '2015', '2016', '2017']
Pike County, AL	Alabama	01109	01	Suppressed	Suppressed	Suppressed	2017	2012	2017	['2012', '2013', '2014', '2015', '2016', '2017']
Randolph County, AL	Alabama	01111	01	Suppressed	Suppressed	Suppressed	2017	2012	2017	['2012', '2013', '2014', '2015', '2016', '2017']
Russell County, AL	Alabama	01113	01	Suppressed	Suppressed	Suppressed	2017	2012	2017	['2012', '2013', '2014', '2015', '2016', '2017']
St. Clair County, AL	Alabama	01115	01	52	9.9	10.0	2017	2012	2017	['2012', '2013', '2014', '2015', '2016', '2017']
Shelby County, AL	Alabama	01117	01	104	8.7	8.4	2017	2012	2017	['2012', '2013', '2014', '2015', '2016', '2017']
Sumter County, AL	Alabama	01119	01	Suppressed	Suppressed	Suppressed	2017	2012	2017	['2012', '2013', '2014', '2015', '2016', '2017']
Talladega County, AL	Alabama	01121	01	11	Unreliable	Unreliable	2017	2012	2017	['2012', '2013', '2014', '2015', '2016', '2017']
Tallapoosa County, AL	Alabama	01123	01	10	Unreliable	Unreliable	2017	2012	2017	['2012', '2013', '2014', '2015', '2016', '2017']
Tuscaloosa County, AL	Alabama	01125	01	42	3.8	3.4	2017	2012	2017	['2012', '2013', '2014', '2015', '2016', '2017']
Walker County, AL	Alabama	01127	01	42	11.5	10.7	2017	2012	2017	['2012', '2013', '2014', '2015', '2016', '2017']
Washington County, AL	Alabama	01129	01	Suppressed	Suppressed	Suppressed	2017	2012	2017	['2012', '2013', '2014', '2015', '2016', '2017']
